Date,User,Report Name,Schedule,Resend Time,Resent Count,Status
01-09-2025,EBG-INSIGHTS,Link Report v2 4/20/22 10:32:17 AM,Daily AM 08:00 ET,01-09-2025 18:55,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Link Report v2 4/20/22 10:32:17 AM,Daily AM 08:00 ET,01-09-2025 18:55,1,SUCCESS
01-09-2025,EBG-INSIGHTS,EBG AI related DataSet,01st Day of Month - 05:30 EST,01-09-2025 18:52,1,SUCCESS
01-09-2025,EBG-INSIGHTS,EBG AI related DataSet,01st Day of Month - 05:30 EST,01-09-2025 18:52,1,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,Immediate Delivery,01-09-2025 18:49,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/4/21 7:00:42 PM,Immediate Delivery,01-09-2025 18:49,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 18:47,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 18:47,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:51,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:51,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 17:48,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 10/5/21 5:42:22 PM,Immediate Delivery,01-09-2025 17:48,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:40,2,SUCCESS
01-09-2025,FNBO-PROD,Alert Delivery - current month 07/21 1/14/21 8:57:08 PM,Immediate Delivery,01-09-2025 17:40,2,SUCCESS
01-09-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,01-09-2025 17:32,1,SUCCESS
01-09-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,01-09-2025 17:32,1,SUCCESS
31-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,31-08-2025 22:49,1,SUCCESS
31-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,31-08-2025 22:46,2,SUCCESS
31-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,31-08-2025 18:12,1,SUCCESS
29-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,29-08-2025 17:04,1,SUCCESS
29-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Immediate delivery,29-08-2025 16:53,2,SUCCESS
29-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Immediate delivery,29-08-2025 14:10,2,SUCCESS
29-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET ,29-08-2025 13:51,1,SUCCESS
29-08-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET ,29-08-2025 12:59,1,SUCCESS
29-08-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET ,29-08-2025 12:52,1,SUCCESS
27-08-2025,Spartan-Parent,Campaign Weekly Report - Post Race Series 10/2/24 9:25:35 PM,Immediate Delivery,27-08-2025 08:01,2,SUCCESS
27-08-2025,Spartan-Parent,Campaign Weekly Report - Post Race Series 10/2/24 9:25:35 PM,Daily PM 22:00 ET,27-08-2025 07:42,1,SUCCESS
26-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,Daily AM 08:15 ET,26-08-2025 18:07,1,SUCCESS
24-08-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Immediate Delivery,24-08-2025 18:15,2,SUCCESS
24-08-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Daily AM 08:00 ET,24-08-2025 17:49,1,SUCCESS
23-08-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET,23-08-2025 12:57,1,SUCCESS
22-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Immediate delivery,22-08-2025 14:10,2,SUCCESS
22-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET ,22-08-2025 13:51,1,SUCCESS
22-08-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET ,22-08-2025 12:59,1,SUCCESS
22-08-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET ,22-08-2025 12:52,1,SUCCESS
22-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,22-08-2025 12:46,1,SUCCESS
22-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,22-08-2025 09:53,1,SUCCESS
21-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,Daily AM 08:15 ET,21-08-2025 18:06,1,
19-08-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Daily AM 08:00 ET,19-08-2025 17:48,1,SUCCESS
19-08-2025,EBG-INSIGHTS,Link Report v2 4/20/22 10:32:17 AM,Daily AM 08:00 ET,19-08-2025 17:39,1,SUCCESS
19-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Immediate delivery,19-08-2025 14:09,2,SUCCESS
19-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET ,19-08-2025 13:49,1,SUCCESS
19-08-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,Daily AM 03:00 ET ,19-08-2025 12:59,1,SUCCESS
19-08-2025,FNBO-PROD,Alert Delivery - current month 3/13/20 5:17:14 AM,Daily AM 03:00 ET ,19-08-2025 12:53,1,SUCCESS
19-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,19-08-2025 12:44,1,SUCCESS
19-08-2025,EBG-INSIGHTS,PB_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET ,19-08-2025 09:59,1,SUCCESS
18-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,18-08-2025 18:08,1,SUCCESS
18-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,18-08-2025 18:06,1,SUCCESS
17-08-2025,FNBO-PROD,CLI CLD by Segment Code - Current Month,Daily AM 08:00 ET,17-08-2025 17:49,1,
16-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,Daily AM 08:15 ET,16-08-2025 18:12,1,SUCCESS
15-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,Daily AM 08:15 ET,15-08-2025 18:51,2,SUCCESS
15-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,Daily AM 08:15 ET,15-08-2025 18:05,1,SUCCESS
15-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Immediate Delivery,15-08-2025 10:15,2,SUCCESS
15-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Immediate Delivery,15-08-2025 09:58,2,SUCCESS
15-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,Once a Week: Friday @ 00:00AM ET,15-08-2025 09:40,1,SUCCESS
13-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,"Once a Week: Friday @ 00:00AM ET	2025-08-13 19:15:13	1	EBG-INSIGHTS	SUCCESS	Shopping Report TAW 9/2/24 7:37:38 AM",13-08-2025 19:15,1,SUCCESS
12-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,12-08-2025 21:28,1,SUCCESS
12-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,Once a Week: Friday @ 00:00AM ET,12-08-2025 21:28,1,SUCCESS
12-08-2025,Spartan-Parent,SPARTAN_YTD - Campaign Report_Sunday_Export-US_ADHOC 2/3/23 8:04:33 PM,Once a Week: Monday @ 05:00AM ET,12-08-2025 20:54,1,
12-08-2025,Spartan-Parent,SPARTAN_YTD - Campaign Report_Sunday_Export-US_ADHOC 2/3/23 8:04:33 PM,Once a Week: Monday @ 05:00AM ET,12-08-2025 20:54,1,
11-08-2025,EBG-INSIGHTS,Sharepoint Report Template 9/15/21 8:26:05 PM,,11-08-2025 18:50,1,SUCCESS
11-08-2025,Spartan-Parent,SPARTAN_YTD - Campaign Report_Sunday_Export-US_INTL 2/6/23 7:06:48 AM,,11-08-2025 18:23,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,Adhoc Trigger 30 days,,11-08-2025 17:42,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM Triggers_v3,,11-08-2025 17:12,2,SUCCESS
11-08-2025,SALLIEMAECS,Daily School Channel Report,,11-08-2025 17:07,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Survey_Report,,11-08-2025 17:02,2,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM Triggers_v3,,11-08-2025 16:57,1,SUCCESS
11-08-2025,Spartan-Parent,Numbers By Day Database Growth By Created Date_Trail,,11-08-2025 16:51,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Survey_Report,,11-08-2025 16:46,1,SUCCESS
11-08-2025,CITIZENS-MAIN-PROD,Platform_CCACQ 1/10/22 9:56:30 PM,,11-08-2025 16:41,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Loan_Trigger_Report_v10,,11-08-2025 16:35,2,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,Chegg Activation Report_v4,,11-08-2025 16:30,2,SUCCESS
11-08-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_trail 5/23/24 8:42:12 AM,,11-08-2025 16:25,2,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Adhoc_Loans_Report_v5,,11-08-2025 16:20,2,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Loan_Trigger_Report_v10,,11-08-2025 16:14,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,Chegg Activation Report_v4,,11-08-2025 16:09,1,SUCCESS
11-08-2025,SALLIEMAE-INSIGHTS,SLM_Adhoc_Loans_Report_v5,,11-08-2025 16:04,1,SUCCESS
11-08-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Deka 5/23/24 11:54:55 AM,,11-08-2025 15:59,1,SUCCESS
11-08-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_trail 5/23/24 8:42:12 AM,,11-08-2025 15:53,1,SUCCESS
11-08-2025,CITIZENS-MAIN-PROD,FastLine Campaigns Daily Email,,11-08-2025 15:48,1,SUCCESS
10-08-2025,EBG-INSIGHTS,Sharepoint Report Template,,10-08-2025 18:24,2,SUCCESS
10-08-2025,EBG-INSIGHTS,Sharepoint Report Template,,10-08-2025 17:55,1,SUCCESS
09-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,,09-08-2025 18:07,1,SUCCESS
